Title,URL,Author,Price
"The Future of Work: Robots, AI, and Automation",https://www.amazon.com/Future-Work-Robots-AI-Automation/dp/0815732937/ref=sr_1_46?ie=UTF8&qid=1534925975&sr=8-46&keywords=automation+books,"The Future of Work: Robots, AI, and AutomationMay 15, 2018","$ 17 19 "
"Automate and Grow: A Blueprint for Startups, Small and Medium Businesses to Automate Marketing, Sales and Customer Support",https://www.amazon.com/Automate-Grow-Blueprint-Businesses-Marketing/dp/1977842216/ref=sr_1_47?ie=UTF8&qid=1534925975&sr=8-47&keywords=automation+books,by Michael Devellano,"$ 12 99 "
Life 3.0: Being Human in the Age of Artificial Intelligence,https://www.amazon.com/Life-3-0-Being-Artificial-Intelligence/dp/1101970316/ref=sr_1_48?ie=UTF8&qid=1534925975&sr=8-48&keywords=automation+books,"Life 3.0: Being Human in the Age of Artificial IntelligenceJul 31, 2018","$ 13 60 "
How to automate your own ICT Department (IT Automation Book 2),https://www.amazon.com/automate-your-Department-Automation-Book-ebook/dp/B00AGJL4LE/ref=sr_1_49?ie=UTF8&qid=1534925975&sr=8-49&keywords=automation+books,"How to automate your own ICT Department (IT Automation Book 2)Nov 30, 2012",
PLC III Virtual PLC Programming and Simulator Software Ladder and Logic Function Easy Automation,https://www.amazon.com/Programming-Simulator-Software-Function-Automation/dp/B00G72L9SW/ref=sr_1_49?ie=UTF8&qid=1534925978&sr=8-49&keywords=automation+books,by Electrodepot,
Automation and Robotics,https://www.amazon.com/Appmaster-Automation-and-Robotics/dp/B071GJT9FC/ref=sr_1_50?ie=UTF8&qid=1534925978&sr=8-50&keywords=automation+books,"Automation and RoboticsJun 11, 2017",
Python Playground: Geeky Projects for the Curious Programmer,https://www.amazon.com/Python-Playground-Projects-Curious-Programmer/dp/1593276044/ref=sr_1_51?ie=UTF8&qid=1534925978&sr=8-51&keywords=automation+books,"Python Playground: Geeky Projects for the Curious ProgrammerOct 1, 2015","$ 23 96 "
"Continuous Delivery: Reliable Software Releases through Build, Test, and Deployment Automation (Addison-Wesley Signature Series (Fowler))",https://www.amazon.com/Continuous-Delivery-Deployment-Automation-Addison-Wesley/dp/0321601912/ref=sr_1_52?ie=UTF8&qid=1534925978&sr=8-52&keywords=automation+books,by Jez Humble and David Farley,"$ 31 15 "
Rockwell Automation 4 Stickers 4X4 inches Car Bumper Window Sticker Decal,https://www.amazon.com/Rockwell-Automation-Stickers-inches-Sticker/dp/B07FXX8S8X/ref=sr_1_53?ie=UTF8&qid=1534925978&sr=8-53&keywords=automation+books,Rockwell Automation 4 Stickers 4X4 inches Car Bumper Window Sticker Decal,
"SAP Sales Cloud (SAP Hybris Cloud for Sales, SAP Hybris C4C): Sales Force Automation with SAP C/4HANA (SAP PRESS)",https://www.amazon.com/SAP-Sales-Cloud-Hybris-C4C/dp/1493215280/ref=sr_1_54?ie=UTF8&qid=1534925978&sr=8-54&keywords=automation+books,by Sanjjeev K. Singh and Karan Sood,"$ 79 95 "
Scenic Automation Handbook,https://www.amazon.com/Scenic-Automation-Handbook-Gareth-Conner/dp/1138850276/ref=sr_1_55?ie=UTF8&qid=1534925978&sr=8-55&keywords=automation+books,"Scenic Automation HandbookApr 21, 2018","$ 64 95 "
AUTOMATION (1998 IM) 1-3 the complete series,https://www.amazon.com/AUTOMATION-1998-IM-1-3-complete/dp/B01GOSRZ04/ref=sr_1_56?ie=UTF8&qid=1534925978&sr=8-56&keywords=automation+books,AUTOMATION (1998 IM) 1-3 the complete series,
Chef Infrastructure Automation Cookbook - Second Edition,https://www.amazon.com/Chef-Infrastructure-Automation-Cookbook-Second/dp/178528794X/ref=sr_1_57?ie=UTF8&qid=1534925978&sr=8-57&keywords=automation+books,"Chef Infrastructure Automation Cookbook - Second EditionMay 29, 2015","$ 40 49 "
Marketing Automation Foundation: Eliminating Unproductive Marketing,https://www.amazon.com/Marketing-Automation-Foundation-Eliminating-Unproductive/dp/1521309248/ref=sr_1_58?ie=UTF8&qid=1534925978&sr=8-58&keywords=automation+books,"Marketing Automation Foundation: Eliminating Unproductive MarketingMay 14, 2017","$ 16 95 "
Mastering Excel Macros: PowerPoint Automation (Book 7),https://www.amazon.com/Mastering-Excel-Macros-PowerPoint-Automation-ebook/dp/B00XNCD6PI/ref=sr_1_59?ie=UTF8&qid=1534925978&sr=8-59&keywords=automation+books,"Mastering Excel Macros: PowerPoint Automation (Book 7)May 13, 2015",
Pipe Shelf Bracket Holder 2PCS/SET Industrial With Screws Vintage Retro Black Iron Storage Holders Home Decor Bookshelf Support,https://www.amazon.com/Bracket-Industrial-Vintage-Decor-Bookshelf/dp/B07228KR8P/ref=sr_1_60?ie=UTF8&qid=1534925978&sr=8-60&keywords=automation+books,by LEO_Home Decor,
Automation Made Easy: Everything You Wanted to Know about Automation--and Need to Ask,https://www.amazon.com/Automation-Made-Easy-Everything-Automation/dp/1936007061/ref=sr_1_65?ie=UTF8&qid=1534925980&sr=8-65&keywords=automation+books,"Automation Made Easy: Everything You Wanted to Know about Automation--and Need to AskJul 10, 2009","$ 77 17 "
Mastering Python Networking Facts,https://www.amazon.com/Network-Automation-Nerds-LLC-Networking/dp/B0775562VH/ref=sr_1_66?ie=UTF8&qid=1534925980&sr=8-66&keywords=automation+books,Mastering Python Networking Facts,
"Ansible 2 Cloud Automation Cookbook: Write Ansible playbooks for AWS, Google Cloud, Microsoft Azure, and OpenStack",https://www.amazon.com/Ansible-Cloud-Automation-Cookbook-playbooks/dp/178829582X/ref=sr_1_67?ie=UTF8&qid=1534925980&sr=8-67&keywords=automation+books,by Aditya Patawari and Vikas Aggarwal,"$ 34 99 "
"LtrottedJ Lot Wooden Spoon, Bamboo Kitchen Cooking Utensil Tool Soup Teaspoon Catering",https://www.amazon.com/LtrottedJ-Kitchen-Cooking-Teaspoon-Catering/dp/B07DQMF3ZX/ref=sr_1_68?ie=UTF8&qid=1534925980&sr=8-68&keywords=automation+books,"LtrottedJ Lot Wooden Spoon, Bamboo Kitchen Cooking Utensil Tool Soup Teaspoon Catering",
